Query	Native	NativeML	Classifier	Carbon
1	131063	134666	137857	47620
10	271415	199154	335864	106874
11	253642	208043	204766	91784
12	0	0	0	0
13	36559	31588	13090	11188
14	249381	192403	69927	62213
15	23912	18446	27435	9929
16	340966	342176	122817	115682
17	40807	33601	38708	13257
18	29581	39979	29112	13447
19	0	0	0	0
2	36630	32535	34550	16242
20	301769	308963	298004	117267
21	294729	298178	257304	177398
22	245457	210420	227532	74862
23	0	0	0	0
24	0	0	0	0
25	249265	175216	218382	83783
26	33762	33678	45958	15243
27	0	0	0	0
28	19481	19551	18386	9087
29	261800	195840	142477	97838
3	140462	54114	123162	47990
30	0	0	0	0
4	139589	148094	149901	47689
5	312042	243374	337525	124842
6	126748	48785	124793	46247
7	126382	48885	117893	43146
8	299503	229527	289285	110756
9	10890	4747	13272	5002
