Query	Native	NativeML	Classifier	VariBO
q1018612	2259	8936	1980	1271
q10220614	2908	17142	4042	2381
q10223864	13077	28165	8838	5526
q105742741	72350	35616	75738	23567
q107654752	68573	39292	64320	58763
q10862842	5354	28431	5081	4349
q10895	918	8831	732	552
q10993951	175736	127848	66320	65200
q109961	1927	6570	1931	1548
q1100297	2187	6885	1407	1358
q1104151	4594	10554	2535	2338
q11075893	0	0	0	0
q1112747282	636488	595256	647373	260968
q1116000	3478	7295	2536	1977
q11206879551	6516573	6105116	4963281	1647107
q113925678	117262	60628	99766	46825
q11637523617	7521717	6207095	4855499	884561
q11947976	16059	12631	8144	9863
q1356723	1941	10680	1102	1312
q13971410	14943	11791	7759	9580
q144017	1655	7139	1005	969
q14413	1994	6136	1018	1096
q1458075	1808	12273	1577	1230
q1459345	2961	6891	1585	1488
q1490297	6065	7990	3122	3470
q154355934	134191	138338	65830	23504
q155561	1502	8720	862	934
q155696936	303552	80811	127121	57105
q15677331	18741	10386	8024	9220
q1570429	5667	7445	3684	4232
q1582060	8861	11149	5155	5055
q15887370	17769	9367	7627	8872
q16049150	18487	44746	8141	3278
q1633681	4380	9989	2195	2349
q1639421	13607	14112	10369	5707
q16698	3006	8589	1889	1960
q1709781	1770	12249	1626	987
q1717	586	6745	813	337
q176191	1941	6641	1823	1512
q1771584	3129	10918	1558	1647
q17849233970	0	0	0	0
q183537163	307705	305563	176837	68173
q18382871	119251	104876	79322	35086
q1839326	5574	9995	3220	4127
q18597973	25481	12178	62919	23821
q18762969	26307	14204	17549	4896
q1936953	4155	9317	2640	2507
q19402569	0	0	0	0
q19424781	15669	11528	8592	3136
q1957551	5552	9320	3267	3508
q200	1110	7042	1407	1437
q2016238	6591	8454	3836	3205
q2034610	3520	9408	2850	2510
q209182	1878	8957	1792	1453
q2101105	2331	9388	6320	1861
q2162683	54760	54760	47265	15578
q224	2367	2367	2305	1913
q2263957167	2125790	1686146	2031366	684527
q228748307	193365	53919	96604	34787
q232039659	353989	353989	290559	71275
q2323452	2482	9939	1794	1656
q233930	1831	10697	1363	1339
q245567	1684	10608	945	881
q2488080	2782	10168	1303	1678
q25033	1897	10187	1044	957
q251068	1857	11373	1170	979
q255355807	250070	158041	103134	40076
q26836	1911	9491	1322	1470
q2809424	3992	9739	3328	1615
q28565	931	9827	880	600
q2863626	5720	11399	3369	3462
q2870375	4285	12117	3735	1791
q299574955	358806	86761	210738	62684
q303210	2990	8335	1704	2303
q312148706	368397	137413	250735	250735
q3136348028	4278970	1009090	3467784	865228
q315516	2200	7856	1957	1974
q3169724	3726	10227	4297	2613
q326559	3363	7840	1766	1901
q33955	3747	10886	3982	3027
q35205	1761	10027	2488	1477
q354388	3072	10699	3096	1815
q3778084	6195	9828	5116	3530
q3812589	8297	12146	7282	1939
q38686327	35407	21578	37359	8926
q40855663	36691	18256	24369	6893
q408599	3616	10385	3241	2021
q4197329	5101	11047	4140	13638
q42036	1937	7865	3568	2197
q4231593	10322	11154	6438	2218
q4254157	8718	12826	7393	4573
q426751	2689	7471	7126	7236
q428612	1019	7128	1171	572
q434967	3801	9714	4102	2208
q436286	3652	9238	3403	2322
q43927632	34670	14073	24732	5831
q454094	3250	10509	3653	1056
q4582	632	6227	1445	1052
q469	3374	7470	3377	1315
q4801	1280	7060	1525	689
q481420	1832	7508	1697	1262
q490921	3055	10333	3611	1971
q5091	938	6138	1906	721
q52313	2291	9999	3310	1162
q537352263	516370	145376	453215	313849
q554302	3495	10728	3124	2747
q56205	2605	10304	2327	1675
q56359398	52598	19148	41102	29361
q569476	36716	164884	31894	22853
q582617	6929	12008	5332	4061
q58623592	71792	23676	55582	36820
q593169291	425631	425631	273806	209708
q595820	0	0	0	0
q5982882	5191	9072	7207	5347
q60601561	213370	60105	213370	213370
q6272	2834	7217	2641	1635
q6299	1472	9509	1504	779
q63500	1782	7578	1206	1017
q6351775	8030	10877	6926	4275
q657592	48705	17255	36043	27896
q6672465	247284	83657	238566	164225
q692609	4069	7365	3732	4268
q698213	2030	8580	1817	1230
q699302	20982	17225	28110	21097
q70752	1686	9062	2211	1375
q7491903	308253	308253	235501	178600
q758411	1777	7539	1142	1140
q7661811	8893	12159	7653	5460
q780683	2778	11082	2464	1996
q79851	732	9146	480	494
q80052528	126528	39482	94290	72286
q82213	5501	7635	699570	3042
q868310	3058	7403	3782	2279
q86914174	1598173	394244	1277276	845328
q8893	1578	7040	4759	3609
q88962973	85641	28596	72513	55753
q896180	3705	10691	3356	2111
q913441	2583	6856	2347	1704
q914210	4163	10553	4330	3988
q96484	1280137	274096	1003676	797534
q978405	4812	9692	4201	2477
q9812	2977	7214	2615	1646
q986987	15607	9535	10590	7025
