tensor,latency

"[6.4442e-01 7.0792e-02 6.9754e-01 4.7671e-01 7.1989e-01 6.5052e-01 -6.3384e-01 -1.4934e+00 4.4195e-01 2.8599e-01 -5.1990e-01 3.0379e-02 2.4096e-01 5.7351e-02 -1.7840e+00 -1.5102e-01 4.7963e-01 1.7171e-01 5.0052e-02 3.2580e-01 4.4558e-01 7.4554e-01 1.8373e-01 4.8583e-01 9.5852e-01 9.4576e-01 1.7764e+00 7.9710e-01 3.2979e-01 -7.4668e-02 5.2066e-01 5.8913e-01]",133544.0
"[4.0182e+00 9.8799e-01 3.0468e-01 6.0506e-01 -7.0684e-01 -7.4461e-01 6.5641e-01 1.8923e-01 4.4195e-01 1.6075e-01 -5.1990e-01 9.0484e-02 9.6089e-01 -1.5443e-02 -1.7840e+00 2.9710e-01 -1.2870e-01 8.9032e-01 7.5720e-01 6.6992e-02 2.8672e-01 3.4168e-01 1.8373e-01 5.1730e-01 6.9657e-01 9.3087e-01 1.7764e+00 1.3311e-01 7.4889e-02 -7.4668e-02 8.7693e-01 2.0815e-01]",133000.0
"[4.0182e+00 8.1413e-01 5.2692e-01 5.4697e-01 -7.0684e-01 -7.4461e-01 4.7059e-01 7.4632e-01 1.5993e-01 3.9945e-01 -5.1990e-01 -9.4259e-01 9.2029e-01 2.2380e-01 8.8388e-01 -1.5102e-01 9.3506e-01 1.0175e+00 4.5919e-01 5.1254e-01 6.9719e-01 -2.2891e-01 4.2917e-01 1.4254e-01 6.9095e-01 -2.0240e-01 1.7764e+00 1.3311e-01 3.2979e-01 7.6356e-01 4.3637e-01 -1.1381e+00]",133000.0
"[9.0272e-01 8.4683e-01 1.6188e-01 4.7671e-01 -7.0684e-01 -7.4461e-01 -6.3384e-01 6.9491e-01 6.5842e-01 -1.4920e+00 -5.1990e-01 1.8175e-01 1.2327e+00 5.4075e-01 -1.7840e+00 6.1256e-01 1.2731e-01 1.0175e+00 4.1565e-01 6.5820e-01 2.0994e-01 6.3421e-01 6.9214e-01 9.0602e-01 6.9657e-01 5.8325e-01 6.2930e-01 1.3311e-01 7.4961e-01 -7.4668e-02 -2.4561e-01 9.0561e-01]",133000.0
"[8.4622e-01 9.8799e-01 4.0539e-01 3.8428e-01 -7.0684e-01 -7.4461e-01 -6.3384e-01 -1.4934e+00 7.7988e-02 2.2775e-01 7.5651e-01 -9.4259e-01 7.8299e-01 9.4206e-01 4.4768e-02 -1.5102e-01 2.0273e-01 1.0175e+00 2.8572e-01 -4.6070e-01 -2.1156e-01 -2.2891e-01 2.8721e-01 7.0501e-01 4.6737e-01 6.8105e-01 3.0678e-01 1.3311e-01 3.2979e-01 -7.4668e-02 3.2264e-01 1.4086e-01]",133000.0
"[4.0182e+00 9.8799e-01 3.2263e-01 6.1182e-02 -7.0684e-01 1.9545e-01 1.4335e-01 2.4381e-01 6.0788e-01 1.7760e-01 4.0419e-01 1.2101e-01 1.2327e+00 8.4781e-01 4.3846e-01 9.2738e-01 -1.2870e-01 2.0034e-01 7.2470e-01 -4.6070e-01 8.7395e-01 6.4545e-01 4.8759e-01 7.4053e-01 4.6761e-01 3.5134e-01 1.7764e+00 7.4543e-01 3.2979e-01 3.2128e-01 9.1370e-01 -1.1381e+00]",133000.0
"[4.0182e+00 9.8799e-01 9.4690e-01 4.7671e-01 5.9442e-01 8.1440e-01 4.4166e-02 2.5543e-02 6.2694e-01 -1.4920e+00 2.3581e-02 -9.4259e-01 6.0921e-01 -1.5443e-02 -1.7840e+00 7.9673e-02 8.5186e-01 1.0175e+00 5.4874e-01 1.1037e-01 5.5582e-01 -2.2891e-01 2.0132e-01 -1.9650e-01 2.8046e-01 9.1652e-01 8.0468e-01 2.7153e-01 3.2979e-01 4.7206e-01 -2.4561e-01 9.6956e-01]",133000.0
"[4.0182e+00 9.8799e-01 5.3874e-01 4.7671e-01 -7.0684e-01 4.7368e-01 -6.3384e-01 6.5128e-01 4.4195e-01 9.1445e-01 -5.1990e-01 8.3906e-01 4.3700e-01 -1.5443e-02 -1.7840e+00 1.1811e-01 -1.2870e-01 1.0175e+00 4.7071e-01 -4.6070e-01 2.2835e-02 2.2856e-01 1.8373e-01 6.0825e-01 6.9657e-01 -2.0240e-01 1.7764e+00 1.3311e-01 3.2979e-01 1.3109e-01 6.3653e-01 5.9869e-01]",133000.0
"[5.1002e-01 2.0230e-01 6.7968e-01 4.7671e-01 8.4303e-02 5.3726e-01 7.7971e-02 1.1236e-01 7.2616e-01 4.2017e-01 3.5813e-01 8.0282e-01 3.7187e-01 4.4226e-01 -1.7840e+00 -1.5102e-01 1.6708e-01 7.8053e-01 7.5720e-01 4.3774e-01 5.9181e-01 3.5739e-01 1.8373e-01 -1.9650e-01 6.9657e-01 -2.0240e-01 3.7287e-01 9.6357e-01 3.2979e-01 9.2696e-01 7.7192e-01 4.8204e-01]",133000.0
