Query	Native	NativeML	Classifier	Carbon
0	79772	32327	37668	24683
1	47765	527101	22037	22033
2	100248	84852	45976	36181
3	54080	56002	25775	13958
4	53992	19703	26156	24149
5	54884	54884	252124	23345
6	64377	37104	25557	17927
7	78152	69170	40286	27619
8	54891	31625	22427	24142
9	69022	212883	26945	10681
10	53391	77277	25826	14655
11	49925	798862	22538	21944
12	564544	564544	411435	71883
13	87157	87157	46008	25005
14	69246	60541	36697	20440
15	52252	47573	21194	17094
16	144226	144226	415332	29163
17	72533	135708	40848	21901
18	77387	49885	42665	24175
19	61288	43021	27368	25387
20	52700	219606	21574	27542
21	70762	74085	37300	36322
22	68405	58896	35063	19304
23	76960	235892	41396	21351
24	53791	234564	21631	11821
25	65867	51185	35402	22273
26	54795	26134	22115	22482
27	57660	56705	19685	12926
28	49967	233408	20423	13156
29	77235	114965	37958	37958
