tensor,latency
"[8.4622e-01,7.5377e-01,4.0539e-01,3.8428e-01,-5.1790e-01,-5.6339e-01,-5.6154e-01,-1.7293e+00,7.7988e-02,2.2775e-01,7.5651e-01,-7.9595e-01,7.8299e-01,9.4206e-01,4.4768e-02,-5.9341e-02,2.0273e-01,1.2259e+00,2.8572e-01,-5.7429e-01,-2.5274e-01,-1.5236e-01,2.8721e-01,7.0501e-01,4.6737e-01,6.8105e-01,3.0678e-01,3.1425e-01,3.8116e-01,-1.0033e-01,3.2264e-01,1.4086e-01]",296926.0
"[4.8981e-01,7.5377e-01,9.7650e-01,3.0399e-01,9.4420e-01,9.7220e-01,-5.6154e-01,8.8199e-01,5.1278e-01,-1.3000e+00,2.6470e-01,7.2794e-01,4.9140e-01,7.4039e-01,-1.9051e+00,-5.9341e-02,7.0798e-01,1.2259e+00,7.5109e-02,4.6945e-01,9.6029e-01,-1.5236e-01,8.5062e-02,7.4931e-01,6.0610e-01,8.9791e-01,1.6801e+00,3.1425e-01,4.6773e-01,1.8642e-01,-2.3759e-01,7.5080e-02]",296000.0
"[9.6689e-01,3.2836e-01,6.4322e-02,3.0399e-01,2.8762e-01,6.6937e-01,3.6439e-01,-1.7293e+00,4.2679e-01,-1.3000e+00,5.2035e-01,6.3366e-01,1.0537e+00,5.6634e-01,8.4417e-01,-5.9341e-02,4.4212e-01,3.0294e-01,5.7093e-01,3.1514e-01,-2.5274e-01,4.3330e-01,4.6258e-02,7.7289e-01,6.7871e-01,9.7674e-01,1.7016e-01,4.3086e-01,3.8116e-01,8.1845e-01,6.9508e-01,3.6811e-01]",122527.0
"[8.0064e-01,7.4515e-01,1.6710e-01,6.9559e-01,1.7339e-01,7.3402e-01,3.6439e-01,-1.7293e+00,4.2679e-01,1.0670e-01,2.6432e-01,3.6625e-01,5.0432e-01,8.7492e-01,8.4417e-01,-5.9341e-02,1.5622e-01,1.3832e-01,5.7093e-01,5.9659e-01,7.3005e-01,7.6041e-01,4.6258e-02,7.7289e-01,1.3794e-01,9.7674e-01,1.7016e-01,4.3086e-01,1.2676e-01,8.1845e-01,7.1903e-01,2.3526e-01]",122000.0
"[5.4797e-01,3.2836e-01,6.4322e-02,6.8711e-01,8.9548e-01,6.6937e-01,6.6044e-01,-1.7293e+00,4.2679e-01,1.9118e-01,9.8530e-01,4.7109e-01,1.9126e-02,5.6634e-01,8.4417e-01,-5.9341e-02,4.5946e-01,3.0294e-01,2.1916e-01,3.2744e-01,9.9676e-01,8.3688e-01,1.2926e-01,2.6669e-01,6.7871e-01,9.7674e-01,5.9916e-02,9.0401e-01,4.8144e-01,1.2232e-01,2.1227e-01,4.6808e-01]",39460.0
"[9.6689e-01,3.2836e-01,8.6309e-01,9.0631e-01,9.1916e-01,8.3735e-01,3.6439e-01,3.9889e-02,4.2679e-01,2.7082e-01,5.1819e-01,2.5460e-01,4.0782e-01,3.5039e-01,8.4417e-01,7.8452e-01,4.4212e-01,3.0294e-01,5.4803e-01,9.8690e-01,5.5608e-01,4.3330e-01,4.6258e-02,2.2138e-01,6.7871e-01,9.7674e-01,1.7016e-01,4.3086e-01,5.6556e-01,8.1845e-01,8.9019e-01,8.7129e-01]",39000.0
"[2.5149e-01,3.2836e-01,2.4403e-01,1.9157e-01,1.1809e-01,4.4675e-01,8.2517e-01,1.7181e-01,4.2679e-01,2.4528e-01,6.6508e-01,9.1512e-01,1.0537e+00,5.6634e-01,1.6994e-01,3.0333e-01,4.4212e-01,3.0294e-01,6.9319e-01,3.1514e-01,9.0204e-01,6.0167e-01,3.4002e-01,7.7289e-01,8.5357e-01,9.7674e-01,1.7016e-01,4.3086e-01,8.8224e-01,6.4268e-01,8.0282e-01,7.2024e-01]",39000.0
"[9.2322e-01,5.6078e-01,6.8702e-01,2.3829e-01,6.0977e-01,6.6937e-01,3.4528e-01,7.6811e-01,9.5878e-01,4.8752e-01,5.2035e-01,1.9406e-01,1.0537e+00,7.1259e-01,8.4417e-01,7.5711e-01,2.2277e-01,2.8313e-01,2.6005e-01,9.5984e-01,-2.5274e-01,4.3330e-01,4.6258e-02,7.7908e-01,6.7871e-01,9.7674e-01,6.8454e-01,4.3086e-01,6.4839e-01,8.1845e-01,6.7945e-01,5.2440e-01]",39000.0
"[9.6689e-01,3.2836e-01,6.4322e-02,1.2873e-01,3.3308e-01,7.9692e-01,3.6439e-01,-1.7293e+00,4.2679e-01,3.4153e-01,1.5988e-01,6.3366e-01,2.5739e-01,4.7558e-01,8.4417e-01,9.8941e-01,4.1952e-01,6.5616e-01,1.1651e-01,3.1514e-01,3.8175e-02,4.3330e-01,4.6258e-02,7.7289e-01,7.5848e-01,9.3170e-02,8.5961e-01,4.3086e-01,3.8116e-01,7.7129e-01,1.3949e-01,8.0397e-01]",39000.0
"[9.6689e-01,3.2836e-01,6.4322e-02,4.6448e-01,6.3646e-02,6.6937e-01,5.3030e-01,-1.7293e+00,5.8660e-01,-1.3000e+00,8.2364e-01,8.2790e-01,2.3857e-01,5.6634e-01,2.4598e-01,5.7584e-01,6.2037e-01,8.8091e-03,2.0110e-02,3.1861e-02,5.9221e-01,1.9158e-01,4.6258e-02,5.0687e-01,6.7340e-01,1.8438e-02,1.7075e-01,4.3086e-01,3.9757e-02,6.9198e-01,9.4511e-02,6.5331e-02]",39000.0
"[3.8045e-01,3.2836e-01,6.2905e-01,9.0631e-01,7.8986e-01,8.3735e-01,1.2543e-01,5.4771e-02,9.2784e-01,2.7082e-01,3.6625e-01,2.5460e-01,4.0782e-01,8.4974e-01,7.4257e-01,1.4658e-01,7.8640e-02,3.0494e-01,5.4803e-01,9.0092e-01,8.2992e-01,8.3945e-02,8.9664e-01,6.5335e-01,6.7871e-01,4.3283e-01,1.7016e-01,9.5913e-01,5.6556e-01,8.1845e-01,1.1366e-01,4.1870e-01]",39000.0
"[9.6689e-01,3.2836e-01,9.9928e-01,9.0631e-01,2.4610e-01,6.5579e-01,3.6439e-01,8.6566e-01,8.8944e-02,3.8464e-01,7.0866e-01,5.3587e-01,8.8636e-01,7.3008e-01,8.4417e-01,2.5546e-01,7.6009e-01,3.0294e-01,5.4803e-01,5.1222e-01,5.5608e-01,7.3127e-01,5.1068e-01,8.2638e-01,9.6486e-01,9.7674e-01,4.7994e-01,3.8562e-02,2.0293e-02,8.1845e-01,3.5397e-01,9.7896e-02]",39000.0
"[9.6689e-01,9.0329e-01,7.8601e-01,3.6327e-02,9.2639e-01,1.6375e-01,3.6439e-01,6.0655e-01,4.2975e-01,2.7082e-01,9.8360e-01,2.5460e-01,3.7913e-01,6.1393e-01,8.4417e-01,7.8452e-01,1.4998e-01,4.1722e-01,6.5239e-01,4.7115e-01,5.5608e-01,4.9043e-01,4.6258e-02,2.2138e-01,5.1130e-01,9.7674e-01,7.8630e-01,1.5952e-01,6.4567e-01,2.1075e-02,9.4101e-01,8.7129e-01]",39000.0
"[9.6689e-01,3.2836e-01,8.6309e-01,4.3112e-01,3.3510e-01,8.0086e-02,2.8145e-01,3.9889e-02,1.8702e-01,8.8288e-01,5.1819e-01,1.9543e-02,1.0156e-01,1.9972e-01,8.4417e-01,5.8168e-01,4.4212e-01,3.0294e-01,5.4803e-01,9.8690e-01,5.5608e-01,7.5601e-01,4.6258e-02,4.3991e-01,8.2194e-01,9.7674e-01,9.2031e-01,7.8087e-01,5.6556e-01,9.4617e-01,4.1852e-01,7.1608e-01]",39000.0
"[9.6689e-01,9.6126e-01,5.2126e-02,4.4644e-01,7.7851e-01,8.3735e-01,3.6439e-01,7.3755e-01,4.2679e-01,2.7082e-01,5.1819e-01,1.9462e-01,8.1278e-01,3.5039e-01,6.3299e-01,6.8810e-01,6.8811e-01,1.7148e-01,5.2292e-01,9.8690e-01,5.5608e-01,8.5767e-01,4.6258e-02,2.2138e-01,6.7871e-01,5.7940e-02,1.7016e-01,4.4054e-01,6.9493e-01,3.4222e-01,8.9019e-01,8.0941e-01]",39000.0
"[5.9483e-01,2.5553e-02,8.6309e-01,7.7468e-01,4.1376e-01,5.0505e-01,3.6439e-01,1.9137e-01,8.0359e-01,7.8701e-01,4.4341e-01,9.6257e-01,7.1323e-01,1.3557e-01,8.4417e-01,7.8452e-01,5.6140e-01,7.1816e-01,5.4803e-01,9.8690e-01,5.0451e-01,5.8079e-01,4.6258e-02,6.4348e-02,3.9925e-01,9.7674e-01,2.2928e-01,7.0008e-01,5.6556e-01,8.1845e-01,2.1903e-01,8.7129e-01]",39000.0
"[4.7306e-01,5.8585e-01,1.9539e-01,2.5963e-01,4.4865e-01,2.5683e-01,3.6439e-01,3.8022e-01,6.7339e-01,2.7082e-01,5.1819e-01,2.5460e-01,9.4292e-01,3.5039e-01,1.6618e-01,6.8304e-01,4.4212e-01,3.0294e-01,5.3282e-02,9.8690e-01,4.0853e-01,6.6199e-01,4.6258e-02,2.6851e-01,6.7871e-01,9.7674e-01,1.7283e-01,4.3086e-01,1.0998e-01,7.2060e-01,8.9019e-01,3.5033e-01]",39000.0
